sentence_number,word,label
1,Mount,B-Mountain
1,Everest,I-Mountain
1,is,O
1,the,O
1,highest,O
1,peak,O
1,in,O
1,the,O
1,world,O
2,K2,B-Mountain
2,is,O
2,the,O
2,second,I-Mountain
2,highest,O
2,mountain,O
3,The,O
3,Andes,B-Mountain
3,are,O
3,the,O
3,longest,O
3,mountain,O
3,range,O
4,Denali,B-Mountain
4,is,O
4,the,O
4,highest,I-Mountain
4,peak,O
4,in,O
4,North,O
4,America,O
5,Kangchenjunga,B-Mountain
5,is,O
5,the,O
5,third,I-Mountain
5,highest,O
5,mountain,O
6,The,O
6,Rockies,B-Mountain
6,are,O
6,a,O
6,major,O
6,mountain,O
6,range,O
7,Kilimanjaro,B-Mountain
7,is,O
7,the,O
7,highest,I-Mountain
7,mountain,O
7,in,O
7,Africa,O
8,The,O
8,Himalayas,B-Mountain
8,are,O
8,a,O
8,majestic,O
8,mountain,O
8,range,O
9,Mount,B-Mountain
9,Fuji,I-Mountain
9,is,O
9,an,O
9,iconic,O
9,volcanic,O
9,mountain,O
10,Matterhorn,B-Mountain
10,is,O
10,a,O
10,famous,O
10,pyramidal,O
10,mountain,O
11,The,O
11,Alps,B-Mountain
11,are,O
11,a,O
11,famous,O
11,mountain,O
11,range,O
12,Elbrus,B-Mountain
12,is,O
12,the,O
12,highest,I-Mountain
12,mountain,O
12,in,O
12,Europe,O
13,Annapurna,B-Mountain
13,is,O
13,one,O
13,of,O
13,the,O
13,highest,I-Mountain
13,peaks,O
13,in,O
13,the,O
13,Himalayas,B-Mountain
14,The,O
14,Andes,B-Mountain
14,are,O
14,known,O
14,for,O
14,their,O
14,dramatic,O
14,scenery,O
15,Mount,B-Mountain
15,Rainier,I-Mountain
15,is,O
15,an,O
15,iconic,O
15,mountain,O
15,in,O
15,the,O
15,Pacific,O
15,Northwest,O
16,Mont,O
16,Blanc,I-Mountain
16,is,O
16,the,O
16,highest,I-Mountain
16,mountain,O
16,in,O
16,the,O
16,Alps,B-Mountain
17,The,O
17,Himalayas,B-Mountain
17,are,O
17,home,O
17,to,O
17,many,O
17,of,O
17,the,O
17,world's,O
17,highest,I-Mountain
17,peaks,O
18,Mount,B-Mountain
18,Kosciuszko,I-Mountain
18,is,O
18,the,O
18,highest,I-Mountain
18,mountain,O
18,in,O
18,Australia,O
19,Mauna,B-Mountain
19,Kea,I-Mountain
19,is,O
19,the,O
19,highest,I-Mountain
19,peak,O
19,in,O
19,Hawaii,O
20,The,O
20,Sierra,B-Mountain
20,Nevada,I-Mountain
20,is,O
20,a,O
20,mountain,O
20,range,O
20,in,O
20,the,O
20,western,O
20,United,O
20,States,O
21,Kangaroo,B-Mountain
21,Island,I-Mountain
21,features,O
21,a,O
21,unique,O
21,rock,O
21,formation,O
21,known,O
21,as,O
21,the,O
21,Remarkable,B-Mountain
21,Rocks,I-Mountain
22,Mount,B-Mountain
22,Elgon,I-Mountain
22,is,O
22,a,O
22,volcanic,O
22,mountain,O
22,on,O
22,the,O
22,border,O
22,between,O
22,Uganda,O
22,and,O
22,Kenya,O
23,The,O
23,Great,B-Mountain
23,Dividing,I-Mountain
23,Range,O
23,is,O
23,a,O
23,major,O
23,mountain,O
23,range,O
23,in,O
23,Australia,O
24,Denali,B-Mountain
24,National,I-Mountain
24,Park,O
24,is,O
24,home,O
24,to,O
24,the,O
24,tallest,I-Mountain
24,mountain,O
24,in,O
24,North,O
24,America,O
25,Mount,B-Mountain
25,Logan,I-Mountain
25,is,O
25,the,O
25,highest,I-Mountain
25,mountain,O
25,in,O
25,Canada,O
26,The,O
26,Cascades,B-Mountain
26,are,O
26,a,O
26,volcanic,O
26,mountain,O
26,range,O
26,in,O
26,the,O
26,Pacific,O
26,Northwest,O
27,Aconcagua,B-Mountain
27,is,O
27,the,O
27,tallest,I-Mountain
27,mountain,O
27,in,O
27,South,O
27,America,O
28,Mont,O
28,Saint,B-Mountain
28,Helens,I-Mountain
28,is,O
28,a,O
28,volcanic,O
28,mountain,O
28,in,O
28,the,O
28,Cascades,B-Mountain
29,Mount,B-Mountain
29,Hood,I-Mountain
29,is,O
29,a,O
29,stratovolcano,O
29,in,O
29,the,O
29,Cascades,B-Mountain
30,The,O
30,Rocky,B-Mountain
30,Mountains,I-Mountain
30,extend,O
30,over,O
30,multiple,O
30,states,O
30,in,O
30,North,O
30,America,O
31,Mount,B-Mountain
31,Aoraki,I-Mountain
31,is,O
31,the,O
31,highest,I-Mountain
31,mountain,O
31,in,O
31,New,O
31,Zealand,O
32,The,O
32,Uinta,B-Mountain
32,Mountains,I-Mountain
32,are,O
32,a,O
32,major,O
32,mountain,O
32,range,O
32,in,O
32,the,O
32,western,O
32,United,O
32,States,O
33,K2,B-Mountain
33,is,O
33,part,O
33,of,O
33,the,O
33,Karakoram,B-Mountain
33,Range,I-Mountain
34,Mauna,B-Mountain
34,Loa,I-Mountain
34,is,O
34,the,O
34,largest,I-Mountain
34,shield,O
34,volcano,O
34,on,O
34,Earth,O
35,The,O
35,Sierras,B-Mountain
35,are,O
35,a,O
35,mountain,O
35,range,O
35,in,O
35,the,O
35,western,O
35,United,O
35,States,O
36,Mount,B-Mountain
36,Mckinley,I-Mountain
36,is,O
36,the,O
36,highest,I-Mountain
36,mountain,O
36,in,O
36,North,O
36,America,O
37,The,O
37,Great,B-Mountain
37,Smoky,I-Mountain
37,Mountains,I-Mountain
37,are,O
37,a,O
37,mountain,O
37,range,O
37,along,O
37,the,O
37,East,O
37,Coast,O
38,Mount,B-Mountain
38,Stromboli,I-Mountain
38,is,O
38,an,O
38,active,O
38,volcano,O
38,located,O
38,in,O
38,the,O
38,Tyrrhenian,O
38,Sea,O
39,Kangaroo,B-Mountain
39,Point,I-Mountain
39,is,O
39,a,O
39,land,O
39,formation,O
39,in,O
39,Western,O
39,Australia,O
40,The,O
40,Sierra,B-Mountain
40,Madre,I-Mountain
40,are,O
40,a,O
40,mountain,O
40,range,O
40,in,O
40,Mexico,O
41,Mount,B-Mountain
41,Elgon,I-Mountain
41,is,O
41,an,O
41,extinct,O
41,stratovolcano,O
41,on,O
41,the,O
41,Eastern,O
41,Equatorial,O
41,Africa,O
42,The,O
42,Tatra,B-Mountain
42,Mountains,I-Mountain
42,form,O
42,a,O
42,natural,O
42,border,O
42,between,O
42,Slovakia,O
42,and,O
42,Poland,O
43,Mount,B-Mountain
43,Vinson,I-Mountain
43,is,O
43,the,O
43,highest,I-Mountain
43,mountain,O
43,in,O
43,Antarctica,O
44,The,O
44,Huangshan,B-Mountain
44,Mountains,I-Mountain
44,are,O
44,famous,O
44,for,O
44,their,O
44,unique,O
44,granite,O
44,peaks,O
45,K2,B-Mountain
45,is,O
45,situated,O
45,on,O
45,the,O
45,border,O
45,between,O
45,Pakistan,O
45,and,O
45,China,O
46,Mount,B-Mountain
46,Meru,I-Mountain
46,is,O
46,a,O
46,volcanic,O
46,mountain,O
46,in,O
46,Tanzania,O
47,The,O
47,Pyrenees,B-Mountain
47,form,O
47,a,O
47,natural,O
47,border,O
47,between,O
47,Spain,O
47,and,O
47,France,O
48,Mount,B-Mountain
48,Kailash,I-Mountain
48,is,O
48,a,O
48,sacred,O
48,mountain,O
48,in,O
48,Tibet,O
49,Mt.,B-Mountain
49,McKinley,I-Mountain
49,is,O
49,also,O
49,known,O
49,as,O
49,Denali,B-Mountain
50,The,O
50,Adirondacks,B-Mountain
50,are,O
50,a,O
50,mountain,O
50,range,O
50,in,O
50,the,O
50,state,O
50,of,O
50,New,O
50,York,O
51,Mount,B-Mountain
51,Olympus,I-Mountain
51,is,O
51,the,O
51,highest,I-Mountain
51,mountain,O
51,in,O
51,Greece,O
52,The,O
52,Sierra,B-Mountain
52,Nevada,I-Mountain
52,extends,O
52,over,O
52,several,O
52,states,O
52,in,O
52,the,O
52,western,O
52,United,O
52,States,O
53,Mount,B-Mountain
53,Elbrus,I-Mountain
53,is,O
53,situated,O
53,in,O
53,the,O
53,Caucasus,B-Mountain
53,Range,I-Mountain
54,The,O
54,Himalayas,B-Mountain
54,are,O
54,home,O
54,to,O
54,numerous,O
54,world,O
54,class,O
54,peaks,O
55,Mont,B-Mountain
55,Blanc,I-Mountain
55,is,O
55,a,O
55,beautiful,O
55,destination,O
55,for,O
55,alpinists,O
56,K2,B-Mountain
56,has,O
56,been,O
56,conquered,O
56,by,O
56,many,O
56,adventurers,O
57,The,O
57,Great,B-Mountain
57,Dividing,I-Mountain
57,Range,O
57,offers,O
57,stunning,O
57,scenery,O
58,Mount,B-Mountain
58,Fuji,I-Mountain
58,is,O
58,an,O
58,active,O
58,stratovolcano,O
58,in,O
58,Japan,O
59,The,O
59,Swiss,B-Mountain
59,Alps,I-Mountain
59,are,O
59,famous,O
59,for,O
59,their,O
59,ski,O
59,resorts,O
60,Mount,B-Mountain
60,Everest,I-Mountain
60,attracts,O
60,climbers,O
60,from,O
60,around,O
60,the,O
60,globe,O
61,Kangchenjunga,B-Mountain
61,is,O
61,located,O
61,on,O
61,the,O
61,border,O
61,between,O
61,Nepal,O
61,and,O
61,India,O
62,The,O
62,Appalachian,B-Mountain
62,Mountains,I-Mountain
62,are,O
62,one,O
62,of,O
62,the,O
62,oldest,O
62,mountain,O
62,ranges,O
62,in,O
62,the,O
62,world,O
63,Mount,B-Mountain
63,Kosciuszko,I-Mountain
63,is,O
63,the,O
63,highest,I-Mountain
63,mountain,O
63,in,O
63,Australia,O
64,The,O
64,Dolomites,B-Mountain
64,are,O
64,a,O
64,mountain,O
64,range,O
64,in,O
64,northern,O
64,Italy,O
65,Mount,B-Mountain
65,Kenya,I-Mountain
65,is,O
65,an,O
65,ancient,O
65,volcanic,O
65,mountain,O
65,in,O
65,East,O
65,Africa,O
66,The,O
66,Great,B-Mountain
66,Basin,I-Mountain
66,is,O
66,a,O
66,large,O
66,mountain,O
66,range,O
66,in,O
66,Nevada,O
67,Mt.,B-Mountain
67,Whitney,I-Mountain
67,is,O
67,the,O
67,highest,I-Mountain
67,peak,O
67,in,O
67,the,O
67,contiguous,O
67,United,O
67,States,O
68,Mount,B-Mountain
68,Saint,I-Mountain
68,Helens,I-Mountain
68,is,O
68,a,O
68,volcanic,O
68,mountain,O
68,in,O
68,the,O
68,Cascades,B-Mountain
69,The,O
69,Tian,B-Mountain
69,Shan,I-Mountain
69,Mountain,O
69,Range,O
69,is,O
69,one,O
69,of,O
69,the,O
69,longest,O
69,continuous,O
69,chain,O
69,of,O
69,mountains,O
70,Mt.,B-Mountain
70,Etna,I-Mountain
70,is,O
70,an,O
70,active,O
70,stratovolcano,O
70,located,O
70,in,O
70,Sicily,O
71,Mount,B-Mountain
71,Sinai,I-Mountain
71,is,O
71,a,O
71,sacred,O
71,mountain,O
71,in,O
71,Egypt,O
72,The,O
72,Alaskan,B-Mountain
72,Range,I-Mountain
72,is,O
72,a,O
72,large,O
72,mountain,O
72,range,O
72,in,O
72,the,O
72,state,O
72,of,O
72,Alaska,O
73,Mount,B-Mountain
73,Huascaran,I-Mountain
73,is,O
73,the,O
73,highest,I-Mountain
73,mountain,O
73,in,O
73,Peru,O
74,K2,B-Mountain
74,is,O
74,situated,O
74,on,O
74,the,O
74,border,O
74,between,O
74,Pakistan,O
74,and,O
74,China,O
75,The,O
75,Sierras,B-Mountain
75,Madres,I-Mountain
75,are,O
75,a,O
75,mountain,O
75,range,O
75,in,O
75,Oregon,O
76,Mount,B-Mountain
76,Washington,I-Mountain
76,is,O
76,an,O
76,iconic,O
76,mountain,O
76,in,O
76,the,O
76,Cascades,B-Mountain
77,Mount,B-Mountain
77,Rushmore,I-Mountain
77,is,O
77,a,O
77,granite,O
77,mountain,O
77,sculpture,O
77,in,O
77,South,O
77,Dakota,O
78,Mount,B-Mountain
78,Matterhorn,I-Mountain
78,is,O
78,a,O
78,pyramidal,O
78,mountain,O
78,on,O
78,the,O
78,border,O
78,between,O
78,Switzerland,O
78,and,O
78,Italy,O
79,The,O
79,Pacific,B-Mountain
79,Mountain,I-Mountain
79,Range,O
79,extends,O
79,from,O
79,British,O
79,Columbia,O
79,to,O
79,California,O
80,Mt.,B-Mountain
80,St.,I-Mountain
80,Helens,I-Mountain
80,is,O
80,a,O
80,volcanic,O
80,mountain,O
80,in,O
80,the,O
80,Cascades,B-Mountain
81,Mount,B-Mountain
81,Kailash,I-Mountain
81,is,O
81,a,O
81,sacred,O
81,mountain,O
81,in,O
81,Tibet,O
82,The,O
82,Catskill,B-Mountain
82,Mountains,I-Mountain
82,are,O
82,a,O
82,mountain,O
82,range,O
82,in,O
82,the,O
82,state,O
82,of,O
82,New,O
82,York,O
83,Mount,B-Mountain
83,Kerinci,I-Mountain
83,is,O
83,the,O
83,highest,I-Mountain
83,mountain,O
83,in,O
83,Sumatra,O
84,The,O
84,Green,B-Mountain
84,Mountains,I-Mountain
84,are,O
84,a,O
84,mountain,O
84,range,O
84,in,O
84,the,O
84,eastern,O
84,United,O
84,States,O
85,Mt.,B-Mountain
85,Everest,I-Mountain
85,is,O
85,the,O
85,highest,I-Mountain
85,mountain,O
85,on,O
85,the,O
85,planet,O
86,The,O
86,Tien,B-Mountain
86,Shan,I-Mountain
86,Mountains,O
86,stretch,O
86,across,O
86,Central,O
86,Asia,O
87,Kangaroo,B-Mountain
87,Island,I-Mountain
87,features,O
87,a,O
87,rock,O
87,formation,O
87,known,O
87,as,O
87,the,O
87,Painted,B-Mountain
87,Cliffs,I-Mountain
88,Mount,B-Mountain
88,Roraima,I-Mountain
88,is,O
88,a,O
88,table,O
88,mountain,O
88,located,O
88,on,O
88,the,O
88,border,O
88,between,O
88,Venezuela,O
88,Brazil,O
88,and,O
88,Guyana,O
89,The,O
89,Hindu,B-Mountain
89,Kush,I-Mountain
89,mountains,O
89,are,O
89,a,O
89,mountain,O
89,range,O
89,in,O
89,Asia,O
90,Mount,B-Mountain
90,Seorak,I-Mountain
90,is,O
90,a,O
90,mountain,O
90,in,O
90,South,O
90,Korea,O
91,The,O
91,Cordillera,B-Mountain
91,Blanca,I-Mountain
91,is,O
91,a,O
91,mountain,O
91,range,O
91,in,O
91,Peru,O
92,Mount,B-Mountain
92,Mitchell,I-Mountain
92,is,O
92,the,O
92,highest,I-Mountain
92,peak,O
92,east,O
92,of,O
92,the,O
92,Mississippi,O
93,The,O
93,Adirondacks,B-Mountain
93,are,O
93,a,O
93,mountain,O
93,range,O
93,in,O
93,the,O
93,state,O
93,of,O
93,New,O
93,York,O
94,K2,B-Mountain
94,is,O
94,known,O
94,as,O
94,Savage,B-Mountain
94,Mountain,I-Mountain
95,Mt.,B-Mountain
95,Katahdin,I-Mountain
95,is,O
95,the,O
95,highest,I-Mountain
95,peak,O
95,in,O
95,Maine,O
96,Mount,B-Mountain
96,Korab,I-Mountain
96,is,O
96,the,O
96,highest,I-Mountain
96,mountain,O
96,in,O
96,Albania,O
97,The,O
97,Selkirk,B-Mountain
97,Mountains,I-Mountain
97,are,O
97,a,O
97,mountain,O
97,range,O
97,in,O
97,British,O
97,Columbia,O
98,Mount,B-Mountain
98,Karakoram,I-Mountain
98,is,O
98,a,O
98,mountain,O
98,range,O
98,between,O
98,Pakistan,O
98,and,O
98,India,O
99,The,O
99,Cascades,B-Mountain
99,are,O
99,a,O
99,mountain,O
99,range,O
99,in,O
99,the,O
99,Pacific,O
99,Northwest,O
100,Mount,B-Mountain
100,Logan,I-Mountain
100,is,O
100,the,O
100,highest,I-Mountain
100,mountain,O
100,in,O
100,Canada,O
